Comment ID,Comment Text,Themes,Sentiment,Emotion Detection ,Tone,Does the comment mention specific media content? 0 = No 1 = Yes,- If Y: what content?,- If Y: what is the general attitude toward this media content? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear,"- - If positive, what does the author like about this content? ","- - If negative, what does the author dislike about this content? ",Does the comment mention gender or gender roles? 0 = No 1 = Yes,- If Y: How would you characterize the gender roles? 1= Women do domestic/care work; 2=Women have limited economic freedom; 3= Women have limited leadership; 4=Women are in subservient roles; 5=Women do not discuss sex or reproductive health; 5=Men are sexual aggressors; 6=Men are leaders; 7=Men are violent; 8=Men are primary breadwinners,- If Y: name any other gender themes and topics addressed in the comment: ,- If Y: What is the general attitude expressed toward discussed gender norms? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear ,- If Y: What is the general attitude expressed toward women? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ,"- If Y: Does the comment use collective framing (“we,” “our society,” “everyone knows”) or individual framing (“I,” “my experience”) in discussing gender/gender roles? 1 = Collective, 2 = Individual, 3 = Can't tell/Does not apply","- If Y: Does the comment contest or reproduce cultural stereotypes around gender? 0 = Contest, 1 = Reproduce, 3 = Unclear/Neither","Does the comment mention race, ethnicity, nationality, language, or caste in relation to the media content ? 0 = No 1 = Yes","- If Y,  which? _____","- If Y: What is the general attitude expressed toward this race, ethnicity, nationality, or language? 1=Positive/2=Neutral/3=Negative/4=Mixed/5=Unclear  ",Does the comment include any sexist or derogatory language?,"- If Y,  provide a quote","What emotions does the comment generally contain? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion","What emotions does the author express toward the media content? 1=Contempt, 2=Anger,  3=Disgust, 4=Sadness, 5=Shame, 6=Embarrassment, 7=Guilt, 8=Compassion, 9=Pride, 10=No emotion",Does the comment indicate that the author acquired new knowledge or information by watching?  0 = No 1 = Yes,- If Y: what did they learn?,Did the comment indicate that the author had existing knowledge reinforced by watching? 0 = No 1 = Yes,- If Y: what knowledge or information was reinforced?,Are there any calls to action in the comment (telling readers to do something)?  0 = No 1 = Yes,"- If Y, what is it calling readers to do?","Does the author share any information in the comment (e.g., share a fact, a link)? 0 = No 1 = Yes","- If Y, what information is shared?","Does the author advocate for anything in the comment (e.g., support a cause)? 0 = No 1 = Yes","- If Y, what do they advocate for?","Does the author correct any information in the comment (e.g., say that something is incorrect)? 0 = No 1 = Yes","- If Y, what do they correct?","Does the comment's author identify themselves in any way (name their gender, profession, location, etc)?  0 = No 1 = Yes","- If Y,  is profession mentioned?  0 = No 1 = Yes","- - If Y, what is the profession?","- If Y, is location mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is race/ethnicity mentioned?  0 = No 1 = Yes","- - If Y, what is the location?","- If Y, is gender mentioned?  0 = No 1 = Yes","- - If Y, what gender?        1=Female, 2=Male, 3=Non-binary                                                                                                                                                                                                ",Notes
131315618,Mbadiwe twin dey show the boys how things are done. Senior men will always be senior men. The rizz has been marinated for many years.,Housemate personality evaluation (boring/strong/weak),Positive (131315618),The emotion expressed in this comment is pride and admiration. (131315618),Admiring (131315618),1 (131315618),Male housemate charisma display (131315618),1 (131315618),"Confidence, experience, and charisma of male housemates (131315618)",- (131315618),1 (131315618),7 (131315618),"Masculine charisma, seniority, and sexual confidence (131315618)",2 (131315618),2 (131315618),1 (131315618),0 (131315618),0 (131315618),- (131315618),- (131315618),0 (131315618),- (131315618),9 (131315618),9 (131315618),0 (131315618),– (131315618),1 (131315618),Reinforced belief that senior or older male housemates command respect and social dominance (131315618),0 (131315618),– (131315618),0 (131315618),– (131315618),0 (131315618),– (131315618),0 (131315618),– (131315618),0 (131315618),,,,,,,,,
132077675,"One thing I like about Big Brother is how most of the men fear to lose guard on live TV. As such, they give female housemates a bit of space. The thing ends up frustrating the females to the extent that they make physical moves to catch the men. On a club night, would the average Nigerian man allow Kassia dance alone? Them no born horn.y men well. They will close-in even with the knowledge that she’s married. At least six men for don approach in forty minutes. WannixHandi should wear bras, abeg. Those things don’t look appealing.",Gender norms/misogyny/“women vs men” discourse,Neutral (132077675),The emotion expressed in this comment is analytical observation and neutrality. (132077675),Sexualized (132077675),1 (132077675),Male–female interaction norms in BBNaija (132077675),4 (132077675),- (132077675),- (132077675),1 (132077675),6 (132077675),Male sexual pursuit versus female boundaries (132077675),4 (132077675),4 (132077675),1 (132077675),1 (132077675),0 (132077675),- (132077675),- (132077675),1 (132077675),should wear bras… don’t look appealing (132077675),1 (132077675),1 (132077675),0 (132077675),– (132077675),1 (132077675),Reinforced belief that male restraint on live TV is intentional and shaped by social expectations (132077675),0 (132077675),– (132077675),0 (132077675),– (132077675),0 (132077675),– (132077675),0 (132077675),– (132077675),0 (132077675),,,,,,,,,
132136595,"Leave Kassia ooooo don't vote for her, she no Sabi manage money that's why she has told you all from the beginning to concentrate more on her husband. Just vote any weak housemate and strictly Kellyrae in the finals",Voting/prize-money strategy (“the money”),Negative (132136595),The emotion expressed in this comment is irritation and criticism. (132136595),Directive (132136595),1 (132136595),Voting strategy focused on Kellyrae (132136595),3 (132136595),- (132136595),Criticism of financial competence and voting strategy (132136595),1 (132136595),2 (132136595),Economic competence stereotypes applied to women (132136595),3 (132136595),3 (132136595),1 (132136595),1 (132136595),0 (132136595),- (132136595),- (132136595),0 (132136595),- (132136595),2 (132136595),2 (132136595),0 (132136595),– (132136595),0 (132136595),– (132136595),1 (132136595),Call to vote for Kellyrae / not vote for Kassia (132136595),0 (132136595),– (132136595),1 (132136595),Advocates voting for Kellyrae and not Kassia (132136595),0 (132136595),– (132136595),0 (132136595),,,,,,,,,
131315822,It’s not societal anything. She’s 100 percent loyal to her husband.  I have seen her run to her husband twice to ask him if he’s angry that she’s talking to Tobi and that it looks like he’s angry. She was so scared. Doesn’t that tell you something?,Marriage/Loyalty/Boundaries,Positive (131315822),The emotion expressed in this comment is reassurance and loyalty. (131315822),Defensive (131315822),1 (131315822),Housemate loyalty behavior (131315822),1 (131315822),Loyalty and respect within marriage (131315822),- (131315822),1 (131315822),4 (131315822),Female emotional dependence and spousal approval-seeking (131315822),2 (131315822),2 (131315822),2 (131315822),0 (131315822),0 (131315822),- (131315822),- (131315822),0 (131315822),- (131315822),8 (131315822),8 (131315822),0 (131315822),– (131315822),1 (131315822),Reinforced belief that Kassia prioritizes her husband’s emotional approval and loyalty (131315822),0 (131315822),– (131315822),0 (131315822),– (131315822),1 (131315822),Advocates loyalty and moral judgment of Kassia’s behavior (131315822),0 (131315822),– (131315822),0 (131315822),,,,,,,,,
132036660,I don't blame kassia for not nominating Onyeka 😁 The kind of problems she carried trying to come for Onyeka was too much for her to bear She tried support the snake Victoria's fight for man. Only to get Disgrace on Sunday because she couldn't stand on her words. Lied she doesn't have a strategy and had to deal with Ebuka's implied threats to expose her marriage Now strike on Monday Make she give Onyeka space make she sef rest. Her husband that is nominating Onyeka on behalf of his wife. Hope he knows his wife is at fault?? 😁 The whole fight happened because his wife couldn't mind her business and focus on her lies about her marriage Busy analyzing strategy of others meanwhile na you dey lie pass. I thought the house was celebrating that Onyeka lost. Why is kassia's husband now pained over a fight his wife won 😁,Fights/conflict/insults in-house,Negative (132036660),The emotion expressed in this comment is anger and frustration. (132036660),Accusatory (132036660),1 (132036660),Conflict and nomination fallout (132036660),3 (132036660),- (132036660),"Accusations of lying, poor strategy, and hypocrisy in conflicts (132036660)",1 (132036660),4 (132036660),Women blamed for conflict escalation and dishonesty (132036660),3 (132036660),3 (132036660),1 (132036660),1 (132036660),0 (132036660),- (132036660),- (132036660),1 (132036660),snake Victoria (132036660),2 (132036660),2 (132036660),0 (132036660),– (132036660),0 (132036660),– (132036660),0 (132036660),– (132036660),0 (132036660),– (132036660),0 (132036660),– (132036660),0 (132036660),– (132036660),0 (132036660),,,,,,,,,
132211178,"Omooo just seeing the video where dami pushed Wanni like 3 times and the bitch couldn’t cough 😮 🤣🤣🤣 Omooo ekuke wanni, only pupupu you know Ode",Fights/conflict/insults in-house,Negative (132211178),The emotion expressed in this comment is amusement and shock. (132211178),Mocking (132211178),1 (132211178),Physical altercation clip involving Wanni (132211178),3 (132211178),- (132211178),"Violence, aggression, and humiliation of a housemate (132211178)",1 (132211178),8 (132211178),Gendered violence and humiliation of women (132211178),3 (132211178),3 (132211178),2 (132211178),1 (132211178),0 (132211178),- (132211178),- (132211178),1 (132211178),the bitch couldn’t cough (132211178),2 (132211178),2 (132211178),0 (132211178),– (132211178),0 (132211178),– (132211178),0 (132211178),– (132211178),0 (132211178),– (132211178),0 (132211178),– (132211178),0 (132211178),– (132211178),0 (132211178),,,,,,,,,
131492196,"u can't wish away your very fat, very ugly, very old, very shameless ashawo kobo kobo, animalistic bastard chinwe restroom fucking her toyboy, gigolo zion that she paid flight ticket for to come and Bleep her with eyes closed and tied in the house. In broad daylight! Just advice her to go and model for xvideos or pornhub, if she go even see customer there. I just need you to confirm, deny or twist the allegation. A reminder, check bbnaija's website and this",Sexual allegations & slut-shaming,Negative (131492196),The emotion expressed in this comment is extreme hostility and disgust. (131492196),Abusive (131492196),0 (131492196),– (131492196),5 (131492196),- (131492196),- (131492196),1 (131492196),6 (131492196),Sexual violence rhetoric and extreme misogyny (131492196),3 (131492196),3 (131492196),2 (131492196),1 (131492196),0 (131492196),- (131492196),- (131492196),1 (131492196),"very fat, very ugly… animalistic bastard (131492196)",3 (131492196),3 (131492196),0 (131492196),– (131492196),0 (131492196),– (131492196),0 (131492196),– (131492196),0 (131492196),– (131492196),0 (131492196),– (131492196),0 (131492196),– (131492196),0 (131492196),,,,,,,,,
131350433,"Married people have a bad rep on this show so it's refreshing to see them together in the house, and there's never been husband and wife in the house together before, so people love them, especially married fans",Marriage/Loyalty/Boundaries,Positive (131350433),The emotion expressed in this comment is relief and mild positivity. (131350433),Positive (131350433),1 (131350433),Married couple representation on BBNaija (131350433),1 (131350433),Refreshing positive representation of married couple (131350433),- (131350433),1 (131350433),7 (131350433),Positive representation of marriage and traditional gender norms (131350433),2 (131350433),2 (131350433),1 (131350433),0 (131350433),0 (131350433),- (131350433),- (131350433),0 (131350433),- (131350433),9 (131350433),9 (131350433),0 (131350433),– (131350433),1 (131350433),Reinforced belief that married contestants attract public sympathy and fan support (131350433),0 (131350433),– (131350433),0 (131350433),– (131350433),1 (131350433),Advocates positive perception of married contestants (131350433),0 (131350433),– (131350433),0 (131350433),,,,,,,,,
131687742,See mumu Fairme! I learnt Ebuka gave him avenue to call out Mbadiwes and he was blabbing Very weak guy!! I am happy they left beta which gives Radicals hope of survival if they can sit up!!,Housemate personality evaluation (boring/strong/weak),Negative (131687742),The emotion expressed in this comment is anger and disappointment. (131687742),Derisive (131687742),1 (131687742),Housemate Fairme eviction commentary (131687742),3 (131687742),- (131687742),Mockery of weakness and poor confrontation skills (131687742),0 (131687742),- (131687742),- (131687742),- (131687742),- (131687742),3 (131687742),3 (131687742),0 (131687742),- (131687742),- (131687742),1 (131687742),See mumu Fairme! (131687742),1 (131687742),1 (131687742),0 (131687742),– (131687742),0 (131687742),– (131687742),0 (131687742),– (131687742),0 (131687742),– (131687742),1 (131687742),Advocates support for Radicals’ survival in the game (131687742),0 (131687742),– (131687742),0 (131687742),,,,,,,,,
131246653,"Double Kay have bonded with The husband. Zinwe, dj flo. Radicals Kassia. Handi and wanni, dj flo. Radicals The husband doesn't like aces. Feels the energy between them is off.",Housemate personality evaluation (boring/strong/weak),Neutral (131246653),The emotion expressed in this comment is neutrality and social observation. (131246653),Neutral (131246653),1 (131246653),Alliance dynamics among housemates (131246653),2 (131246653),- (131246653),- (131246653),0 (131246653),- (131246653),- (131246653),- (131246653),- (131246653),3 (131246653),3 (131246653),0 (131246653),- (131246653),- (131246653),0 (131246653),- (131246653),10 (131246653),10 (131246653),0 (131246653),– (131246653),0 (131246653),– (131246653),0 (131246653),– (131246653),0 (131246653),– (131246653),0 (131246653),– (131246653),0 (131246653),– (131246653),0 (131246653),,,,,,,,,
131490609,Fairme Cancelled!! I hate men that allow fellow men mess them up 😠 This is the same reason I cancelled dotun when he allowed useless shegu use him shine nonsense!!,Fights/conflict/insults in-house,Negative (131490609),The emotion expressed in this comment is anger and condemnation. (131490609),Indignant (131490609),1 (131490609),Criticism of male housemate behavior (131490609),3 (131490609),- (131490609),Anger at perceived lack of male backbone and loyalty (131490609),1 (131490609),7 (131490609),Masculine honor and condemnation of perceived weakness (131490609),3 (131490609),3 (131490609),1 (131490609),1 (131490609),0 (131490609),- (131490609),- (131490609),1 (131490609),I hate men that allow fellow men mess them up (131490609),2 (131490609),2 (131490609),0 (131490609),– (131490609),0 (131490609),– (131490609),0 (131490609),– (131490609),0 (131490609),– (131490609),1 (131490609),Advocates canceling/disapproving Fairme’s behavior (131490609),0 (131490609),– (131490609),0 (131490609),,,,,,,,,
131700300,"Nawa o So Efe is Lightskin? Miracle Lightskin? Laycon Lightskin Even Mercy can't be categorize as light skin (if not for bleaching cream) Even Phyna is not light skin like that Illebaye too na lightskin? The only person wey look light skin wey win the show na WM, Upon that sef dat one too bleach. So abegggiiiii,dis one wey u talk no follow",Appearance/beauty/age/body-shaming,Neutral (131700300),The emotion expressed in this comment is neutrality and commentary. (131700300),Skeptical (131700300),1 (131700300),Skin tone discussion among BBNaija winners (131700300),2 (131700300),- (131700300),- (131700300),1 (131700300),- (131700300),- (131700300),2 (131700300),2 (131700300),3 (131700300),3 (131700300),1 (131700300),Light-skinned identity / colorism (“lightskin”) (131700300),3 (131700300),0 (131700300),- (131700300),10 (131700300),10 (131700300),0 (131700300),– (131700300),1 (131700300),Reinforced belief that skin-tone debates recur every season and follow familiar patterns (131700300),0 (131700300),– (131700300),0 (131700300),– (131700300),0 (131700300),– (131700300),0 (131700300),– (131700300),0 (131700300),,,,,,,,,
131616973,Kelly Rae was very right yesterday when the wife was telling him about not touching the guy's nipple and he said he believes she did not but as a wife she should avoid plays that will bring her name into some kind of statements because people may spin and add jara. Just look at small touch someone came here and twisted it to suck and if not corrected people will run with narrative that married woman dey suck man nipple for TV. Even Kellyrae that will always tell his wife to draw lines when playing with men in the house.,Marriage/Loyalty/Boundaries,Positive (131616973),The emotion expressed in this comment is approval and caution. (131616973),Explanatory (131616973),1 (131616973),Boundary-setting conversation between couple (131616973),2 (131616973),- (131616973),- (131616973),1 (131616973),4 (131616973),Respectability politics applied to married women (131616973),3 (131616973),3 (131616973),1 (131616973),1 (131616973),0 (131616973),- (131616973),- (131616973),0 (131616973),- (131616973),9 (131616973),9 (131616973),0 (131616973),– (131616973),1 (131616973),Reinforced belief that Kellyrae consistently sets boundaries to protect marital image (131616973),0 (131616973),– (131616973),0 (131616973),– (131616973),1 (131616973),Advocates stricter boundaries for married women on the show (131616973),0 (131616973),– (131616973),0 (131616973),,,,,,,,,
131922837,"If you can date more than 50 men and still end up with ur abusive husband, then why must Solly ship lead to marriage... If it was dat easy, u would have married the first man that fingered and disvirgined you.. This Nhazeru sef..",Sexual allegations & slut-shaming,Negative (131922837),The emotion expressed in this comment is anger and judgment. (131922837),Judgmental (131922837),1 (131922837),Housemate sexual history discourse (131922837),3 (131922837),- (131922837),Sexual insults and shaming of personal history (131922837),1 (131922837),5 (131922837),Sexual history policing and purity expectations for women (131922837),3 (131922837),3 (131922837),2 (131922837),1 (131922837),0 (131922837),- (131922837),- (131922837),1 (131922837),fingered and disvirgined you (131922837),3 (131922837),3 (131922837),0 (131922837),– (131922837),0 (131922837),– (131922837),0 (131922837),– (131922837),0 (131922837),– (131922837),0 (131922837),– (131922837),0 (131922837),– (131922837),0 (131922837),,,,,,,,,
132218499,"As par... Does he owe her that? What about him missing his wife? Who tends to him? Unless his wife told him to do so for her (Kassia), then I believe he should set boundaries. You don't expect him to continue to cater to Victoria, now that Kassia is no longer there, do you?",Marriage/Loyalty/Boundaries,Neutral (132218499),The emotion expressed in this comment is neutrality and boundary questioning. (132218499),Questioning (132218499),1 (132218499),Post-eviction care expectations (132218499),2 (132218499),- (132218499),- (132218499),1 (132218499),7 (132218499),Male boundary-setting and emotional labor expectations (132218499),2 (132218499),2 (132218499),1 (132218499),0 (132218499),0 (132218499),- (132218499),- (132218499),0 (132218499),- (132218499),10 (132218499),10 (132218499),0 (132218499),– (132218499),0 (132218499),– (132218499),0 (132218499),– (132218499),0 (132218499),– (132218499),0 (132218499),– (132218499),0 (132218499),– (132218499),0 (132218499),,,,,,,,,
131612908,Wahala dey this night ohh😂😂 Abeg wetin dey cause husband and wife argument dis night? Which man nipple way kassie press way Kelly dey vex?,Marriage/Loyalty/Boundaries,Neutral (131612908),The emotion expressed in this comment is curiosity and mild confusion. (131612908),Curious (131612908),1 (131612908),Nighttime argument between married couple (131612908),2 (131612908),- (131612908),- (131612908),1 (131612908),4 (131612908),Gendered interpretation of marital arguments (131612908),2 (131612908),2 (131612908),1 (131612908),1 (131612908),0 (131612908),- (131612908),- (131612908),0 (131612908),- (131612908),10 (131612908),10 (131612908),0 (131612908),– (131612908),0 (131612908),– (131612908),0 (131612908),– (131612908),0 (131612908),– (131612908),0 (131612908),– (131612908),0 (131612908),– (131612908),0 (131612908),,,,,,,,,
131435012,"Anyway, Onyeka's latest problem is another testament that there is no such thing as a ""Guy's girl"" Walahi, if you set yourself up to be doing jamtalk with men, dem go jam you enter gutter. Especially younger men. Don't try to be overly liberal and lewd when you're talking to guys as a lady, because once you hit that level of see finish, your finish will never be unseen. Na that ""You know Onyeka is frustrated now"" from Sooj shock me pass. If you talk anyhow with men, they will talk anyhow about you. Always maintain composure, you're a lady first.",Gender norms/misogyny/“women vs men” discourse,Negative (131435012),The emotion expressed in this comment is concern and moral warning. (131435012),Moralizing (131435012),1 (131435012),Moral lesson drawn from housemate conflict (131435012),2 (131435012),- (131435012),- (131435012),1 (131435012),4 (131435012),"Respectability, chastity, and “ladylike” behavior norms (131435012)",3 (131435012),3 (131435012),1 (131435012),1 (131435012),0 (131435012),- (131435012),- (131435012),0 (131435012),- (131435012),9 (131435012),9 (131435012),0 (131435012),– (131435012),1 (131435012),Reinforced belief that women who are overly familiar with men are socially judged harshly (131435012),0 (131435012),– (131435012),0 (131435012),– (131435012),1 (131435012),Advocates traditional gender composure for women (131435012),0 (131435012),– (131435012),0 (131435012),,,,,,,,,
132241411,"Kelly is that man your dad will initially refuse to accept him as his son in-law but later grow to love him so much because of his total composure and let's be truthful, isn't he such a lovely partner to Kassia? Kelly is the real alpha male of the house, despite his caring habits he still has Kassia under his control, he knows when to spoil her and when to scold her and pamper her after the scolding. He doesn't get into people's business unnecessarily, he's sooo composed and loving. If you don't love Kellyrae then you are definitely facing Village people's problem. Vote a man who treats his wife well, let's encourage good men by voting Kelly.",Marriage/Loyalty/Boundaries,Positive (132241411),The emotion expressed in this comment is admiration and idealization. (132241411),Admiring (132241411),1 (132241411),Praise of Kellyrae’s conduct on BBNaija (132241411),1 (132241411),"Admiration for husband’s composure, leadership, and care (132241411)",- (132241411),1 (132241411),7 (132241411),Male dominance framed as leadership and care (132241411),1 (132241411),1 (132241411),1 (132241411),0 (132241411),0 (132241411),- (132241411),- (132241411),0 (132241411),- (132241411),9 (132241411),9 (132241411),0 (132241411),– (132241411),1 (132241411),Reinforced belief that Kellyrae embodies an idealized model of male composure and leadership (132241411),1 (132241411),Call to vote for Kellyrae and support him (132241411),0 (132241411),– (132241411),1 (132241411),Advocates voting for Kellyrae as a good husband/man (132241411),0 (132241411),– (132241411),0 (132241411),,,,,,,,,
132034148,"I don’t even like either of the two but Kassia sure deserves the win, it will be unfair to her if it’s given to her husband just because he is the “head of the house”, Head of house that can change it for the wife once money comes in. The money should be given to the most deserving. Wanni or Handi for the win though.",Voting/prize-money strategy (“the money”),Neutral (132034148),The emotion expressed in this comment is mixed feelings and fairness concern. (132034148),Balanced (132034148),1 (132034148),Debate over deserving BBNaija winner (132034148),4 (132034148),- (132034148),- (132034148),0 (132034148),- (132034148),- (132034148),- (132034148),- (132034148),3 (132034148),3 (132034148),0 (132034148),- (132034148),- (132034148),0 (132034148),- (132034148),10 (132034148),10 (132034148),0 (132034148),– (132034148),0 (132034148),– (132034148),0 (132034148),– (132034148),0 (132034148),– (132034148),1 (132034148),Advocates Kassia deserving win independently of husband (132034148),0 (132034148),– (132034148),0 (132034148),,,,,,,,,
132319059,"I can recall the married woman that said she usually wakes up by 4:am to cook for her husband and mumu Nigerians made her a millionaire. That was at the begining of the year, I think. Kelly knew gullible Nigerians were going to support him if he brought the marriage strategy into the big brother's house, and it worked.",Voting/prize-money strategy (“the money”),Negative (132319059),The emotion expressed in this comment is cynicism and skepticism. (132319059),Cynical (132319059),1 (132319059),Critique of marriage-based voting strategy (132319059),3 (132319059),- (132319059),Manipulative use of marriage narrative to exploit voters (132319059),1 (132319059),2 (132319059),Marriage-as-strategy and exploitation of gender norms (132319059),4 (132319059),4 (132319059),1 (132319059),1 (132319059),0 (132319059),- (132319059),- (132319059),1 (132319059),mumu Nigerians made her a millionaire (132319059),1 (132319059),1 (132319059),1 (132319059),Learned that marriage narratives can be strategically used to gain public sympathy and votes (132319059),1 (132319059),Reinforced belief that marriage narratives are repeatedly used as winning strategies in reality TV (132319059),0 (132319059),– (132319059),1 (132319059),Shares anecdote about a past BBNaija contestant becoming wealthy due to marriage narrative (132319059),1 (132319059),Advocates skepticism toward marriage-based voting narratives (132319059),0 (132319059),– (132319059),0 (132319059),,,,,,,,,
131404187,See doublekay that are even married. And tobi dey there dey mumu himself. Kellyrae can even give a brain-resetting sound slap and both pairs will be disqualified. And kelly carry him wife go back home. It's this whinchat baby baby. When u even research very well u will find out that chinwe and zion are not even dating.,Fights/conflict/insults in-house,Negative (131404187),The emotion expressed in this comment is anger and ridicule. (131404187),Corrective (131404187),1 (131404187),Married housemates’ conduct debate (131404187),3 (131404187),- (131404187),- (131404187),1 (131404187),6 (131404187),Threats of male violence used as control (131404187),3 (131404187),3 (131404187),2 (131404187),1 (131404187),0 (131404187),- (131404187),- (131404187),1 (131404187),brain-resetting sound slap (131404187),2 (131404187),2 (131404187),0 (131404187),– (131404187),0 (131404187),– (131404187),0 (131404187),– (131404187),0 (131404187),– (131404187),1 (131404187),Advocates discrediting rumors about Chinwe and Zion (131404187),1 (131404187),Corrects the claim that Chinwe and Zion are dating; states they are not actually a couple (131404187),0 (131404187),,,,,,,,,
131643074,"Very fat, very ugly, very uncouth, very promiscuous, evil, idiotic chunwe's middle name is delusion. See this bastard that sleeps from morning till night everyday is accusing zion of not spending time with her. Thought they spent time in the restroom some days ago. Animal always seeking validation. Na now her day break at 6:50pm",Sexual allegations & slut-shaming,Negative (131643074),The emotion expressed in this comment is hostility and moral condemnation. (131643074),Abusive (131643074),0 (131643074),– (131643074),5 (131643074),- (131643074),- (131643074),1 (131643074),6 (131643074),Dehumanization and moral panic around women’s sexuality (131643074),3 (131643074),3 (131643074),2 (131643074),1 (131643074),0 (131643074),- (131643074),- (131643074),1 (131643074),"very fat, very ugly… promiscuous (131643074)",3 (131643074),3 (131643074),0 (131643074),– (131643074),0 (131643074),– (131643074),0 (131643074),– (131643074),0 (131643074),– (131643074),0 (131643074),– (131643074),0 (131643074),– (131643074),0 (131643074),,,,,,,,,
131545880,But are they in a relationship  for all these plenty explanations? He sounds like a guilty husband explaining to his wife that he cheated. He even added a dramactic pause 😁,Shipping/romance dynamics,Neutral (131545880),The emotion expressed in this comment is amusement and skepticism. (131545880),Skeptical (131545880),1 (131545880),Relationship explanation by housemate (131545880),2 (131545880),- (131545880),- (131545880),0 (131545880),- (131545880),- (131545880),- (131545880),- (131545880),3 (131545880),3 (131545880),0 (131545880),- (131545880),- (131545880),0 (131545880),- (131545880),10 (131545880),10 (131545880),0 (131545880),– (131545880),0 (131545880),– (131545880),0 (131545880),– (131545880),0 (131545880),– (131545880),0 (131545880),– (131545880),0 (131545880),– (131545880),0 (131545880),,,,,,,,,
132283192,The money is boring The money is dry The money gullible The money is a bandwagon The money deserve Tinubu The money is floating Wetin d money never do? Plsss Vote oooooo so dat we can be able to analyse d money very well VOTE KELLYRAE🙏🙏🙏🙏,Voting/prize-money strategy (“the money”),Positive (132283192),The emotion expressed in this comment is excitement and promotional enthusiasm. (132283192),Promotional (132283192),1 (132283192),Voting campaign slogan “the money” (132283192),2 (132283192),- (132283192),- (132283192),0 (132283192),- (132283192),- (132283192),- (132283192),- (132283192),3 (132283192),3 (132283192),0 (132283192),- (132283192),- (132283192),0 (132283192),- (132283192),10 (132283192),10 (132283192),0 (132283192),– (132283192),0 (132283192),– (132283192),1 (132283192),Call to vote for Kellyrae (explicit voting appeal) (132283192),0 (132283192),– (132283192),1 (132283192),Advocates voting for Kellyrae (132283192),0 (132283192),– (132283192),0 (132283192),,,,,,,,,
131495539,"The way una dey stan this year, if it was other seasons we for dey hear The money is tricky The money is tochied The money is jaypauled The money is modella The money is dotuned The money is wathonified",Voting/prize-money strategy (“the money”),Neutral (131495539),The emotion expressed in this comment is neutrality and comparison. (131495539),Humorous (131495539),1 (131495539),Fan comparison across BBNaija seasons (131495539),2 (131495539),- (131495539),- (131495539),0 (131495539),- (131495539),- (131495539),- (131495539),- (131495539),3 (131495539),3 (131495539),0 (131495539),- (131495539),- (131495539),0 (131495539),- (131495539),10 (131495539),10 (131495539),0 (131495539),– (131495539),0 (131495539),– (131495539),0 (131495539),– (131495539),0 (131495539),– (131495539),0 (131495539),– (131495539),0 (131495539),– (131495539),0 (131495539),,,,,,,,,
131806926,"Nelly should not have any conversation with anyone. They should go on and be gossipping. Seems the one rootie gave wanni never do her, na nelly be her new target. Imagine a girl (ashawo, incestuous drug addict at that) analysising another girl's nyash. E no too set etc. Rubbish",Sexual allegations & slut-shaming,Negative (131806926),The emotion expressed in this comment is disgust and contempt. (131806926),Derogatory (131806926),1 (131806926),Insults toward female housemates (131806926),3 (131806926),- (131806926),Harsh moral judgment and derogatory labeling of a housemate (131806926),1 (131806926),6 (131806926),Sexual objectification and moral condemnation of women (131806926),3 (131806926),3 (131806926),2 (131806926),1 (131806926),0 (131806926),- (131806926),- (131806926),1 (131806926),"ashawo, incestuous drug addict (131806926)",3 (131806926),3 (131806926),0 (131806926),– (131806926),0 (131806926),– (131806926),0 (131806926),– (131806926),0 (131806926),– (131806926),0 (131806926),– (131806926),0 (131806926),– (131806926),0 (131806926),,,,,,,,,
132011350,"If Ozee and Ocee influenced the outcome of this season, then either of them should win the money. BBN is a game of personalities and the most stand out personality should win the money. So if Ocee and Ozee repressed the other adults, one of them should be handed the money and everyone else sent home. It's the same thing you guys did with white money, and he won the money, rightfully so.....",Voting/prize-money strategy (“the money”),Neutral (132011350),The emotion expressed in this comment is neutrality and evaluation. (132011350),Analytical (132011350),1 (132011350),Season influence analysis (132011350),2 (132011350),- (132011350),- (132011350),0 (132011350),- (132011350),- (132011350),- (132011350),- (132011350),3 (132011350),3 (132011350),0 (132011350),- (132011350),- (132011350),0 (132011350),- (132011350),10 (132011350),10 (132011350),0 (132011350),– (132011350),0 (132011350),– (132011350),0 (132011350),– (132011350),0 (132011350),– (132011350),1 (132011350),Advocates personality-based winner selection (132011350),0 (132011350),– (132011350),0 (132011350),,,,,,,,,
